occurrence_date,report_date,report_year,neighbourhood_name,premises_type,status
2016-03-30T00:00:00Z,2016-07-14T00:00:00Z,2016,Islington-City Centre West (14),Apartment,STOLEN
2016-01-19T00:00:00Z,2016-01-25T00:00:00Z,2016,Islington-City Centre West (14),Outside,RECOVERED
2016-01-19T00:00:00Z,2016-01-25T00:00:00Z,2016,Islington-City Centre West (14),Outside,STOLEN
2016-01-22T00:00:00Z,2016-01-26T00:00:00Z,2016,Islington-City Centre West (14),Outside,STOLEN
2016-06-07T00:00:00Z,2016-06-07T00:00:00Z,2016,Islington-City Centre West (14),Transit,STOLEN
2016-07-25T00:00:00Z,2016-07-25T00:00:00Z,2016,Islington-City Centre West (14),House,STOLEN
2016-07-25T00:00:00Z,2016-07-26T00:00:00Z,2016,Islington-City Centre West (14),Outside,STOLEN
2016-07-25T00:00:00Z,2016-07-25T00:00:00Z,2016,Islington-City Centre West (14),House,RECOVERED
2016-09-19T00:00:00Z,2016-09-19T00:00:00Z,2016,Islington-City Centre West (14),Apartment,STOLEN
2016-10-06T00:00:00Z,2016-10-12T00:00:00Z,2016,Islington-City Centre West (14),Commercial,STOLEN
2016-10-11T00:00:00Z,2016-10-12T00:00:00Z,2016,Islington-City Centre West (14),Commercial,STOLEN
2016-10-28T00:00:00Z,2016-10-31T00:00:00Z,2016,Islington-City Centre West (14),Apartment,STOLEN
2016-11-14T00:00:00Z,2016-11-14T00:00:00Z,2016,Islington-City Centre West (14),Outside,STOLEN
2020-06-21T00:00:00Z,2020-06-21T00:00:00Z,2020,Islington-City Centre West (14),Outside,STOLEN
2020-07-23T00:00:00Z,2020-07-25T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2020-09-05T00:00:00Z,2020-09-06T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2019-08-23T00:00:00Z,2019-08-26T00:00:00Z,2019,Flemingdon Park (44),Other,STOLEN
2018-10-18T00:00:00Z,2018-10-18T00:00:00Z,2018,Islington-City Centre West (14),Outside,STOLEN
2019-07-15T00:00:00Z,2019-07-16T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2019-07-13T00:00:00Z,2019-07-26T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2019-08-03T00:00:00Z,2019-08-04T00:00:00Z,2019,Islington-City Centre West (14),House,STOLEN
2019-11-28T00:00:00Z,2019-12-04T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2020-05-18T00:00:00Z,2020-05-19T00:00:00Z,2020,Islington-City Centre West (14),House,STOLEN
2017-07-25T00:00:00Z,2017-07-26T00:00:00Z,2017,Islington-City Centre West (14),Apartment,STOLEN
2019-01-31T00:00:00Z,2019-02-01T00:00:00Z,2019,Islington-City Centre West (14),Apartment,STOLEN
2017-07-07T00:00:00Z,2017-08-23T00:00:00Z,2017,Islington-City Centre West (14),Outside,STOLEN
2017-09-01T00:00:00Z,2017-09-05T00:00:00Z,2017,Islington-City Centre West (14),Transit,STOLEN
2015-06-10T00:00:00Z,2015-06-10T00:00:00Z,2015,Islington-City Centre West (14),House,STOLEN
2015-06-13T00:00:00Z,2015-06-13T00:00:00Z,2015,Islington-City Centre West (14),Commercial,STOLEN
2015-06-13T00:00:00Z,2015-06-13T00:00:00Z,2015,Islington-City Centre West (14),Commercial,STOLEN
2015-06-24T00:00:00Z,2015-06-24T00:00:00Z,2015,Islington-City Centre West (14),Outside,STOLEN
2015-09-17T00:00:00Z,2015-09-17T00:00:00Z,2015,Islington-City Centre West (14),House,UNKNOWN
2015-06-24T00:00:00Z,2015-06-24T00:00:00Z,2015,Kingsway South (15),Outside,STOLEN
2016-08-12T00:00:00Z,2016-08-12T00:00:00Z,2016,Islington-City Centre West (14),House,STOLEN
2016-08-12T00:00:00Z,2016-08-12T00:00:00Z,2016,Islington-City Centre West (14),House,STOLEN
2017-05-28T00:00:00Z,2017-05-28T00:00:00Z,2017,Islington-City Centre West (14),Commercial,STOLEN
2020-05-08T00:00:00Z,2020-05-12T00:00:00Z,2020,Islington-City Centre West (14),House,STOLEN
2020-05-30T00:00:00Z,2020-06-01T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2020-09-05T00:00:00Z,2020-09-14T00:00:00Z,2020,Islington-City Centre West (14),Commercial,STOLEN
2020-12-08T00:00:00Z,2020-12-21T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2020-12-08T00:00:00Z,2020-12-21T00:00:00Z,2020,Islington-City Centre West (14),Apartment,STOLEN
2019-03-16T00:00:00Z,2019-03-19T00:00:00Z,2019,Islington-City Centre West (14),Commercial,STOLEN
2020-04-08T00:00:00Z,2020-04-10T00:00:00Z,2020,Islington-City Centre West (14),House,STOLEN
2017-08-19T00:00:00Z,2018-01-13T00:00:00Z,2018,Islington-City Centre West (14),Commercial,STOLEN
2018-09-17T00:00:00Z,2018-09-24T00:00:00Z,2018,Islington-City Centre West (14),Apartment,STOLEN
2018-08-20T00:00:00Z,2018-08-20T00:00:00Z,2018,Stonegate-Queensway (16),Other,STOLEN
2015-05-01T00:00:00Z,2015-05-03T00:00:00Z,2015,Stonegate-Queensway (16),Educational,STOLEN
2015-07-23T00:00:00Z,2015-08-07T00:00:00Z,2015,Stonegate-Queensway (16),House,STOLEN
2015-06-24T00:00:00Z,2015-06-24T00:00:00Z,2015,Kingsway South (15),Outside,STOLEN
2015-07-23T00:00:00Z,2015-08-07T00:00:00Z,2015,Stonegate-Queensway (16),House,STOLEN
2016-04-19T00:00:00Z,2016-04-19T00:00:00Z,2016,Stonegate-Queensway (16),Educational,STOLEN
2016-07-30T00:00:00Z,2016-08-11T00:00:00Z,2016,Stonegate-Queensway (16),House,STOLEN
2016-12-27T00:00:00Z,2016-12-31T00:00:00Z,2016,West Humber-Clairville (1),Apartment,STOLEN
2016-12-05T00:00:00Z,2016-12-12T00:00:00Z,2016,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2016-12-13T00:00:00Z,2016-12-13T00:00:00Z,2016,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
